N,fstLidL,Cc_first,Cc_last,Cc_middle,Cg_first,Cg_last,Cg_middle,f1 GHz,kappa MHz,T1_Purcell us,g MHz
30,1,1.0082e-15,0.60055e-15,0.0323e-15,0.03849e-15,0.1416e-15,0.00737e-15,24.7,0.6,4.8,561
30,5,2.27e-15,1.21e-15,0.020e-15,0.09e-15,0.331e-15,0.0047e-15,22,2,1.0,900
30,9,3.35e-15,1.64e-15,0.018e-15,0.13e-15,0.498e-15,0.0042e-15,20.2,3.47,0.5,1122.2
30,13,4.41e-15,1.99e-15,0.0167e-15,0.167e-15,0.66e-15,0.004e-15,18.9,5,0.3,1222.4
30,17,5.43e-15,2.3e-15,0.016e-15,0.2e-15,0.83e-15,0.0037e-15,18.0,6.6,0.2,1342.7
30,21,6.47e-15,2.56e-15,0.0155e-15,0.235e-15,1.01e-15,0.0035e-15,17.2,8.5,0.2,1500
50,1,1.0198e-15,0.53498e-15,0.02915e-15,0.03515e-15,0.1663e-15,0.00885e-15,21.84,1.14,5.6,550
50,5,2.281e-15,1.10e-15,0.01829e-15,0.08798e-15,0.381e-15,0.00561e-15,18.93,2.99,1.13,861.72
50,9,3.359e-15,1.488e-15,0.0159e-15,0.129e-15,0.565e-15,0.00524e-15,17.20,4.58,0.53,1002.00
50,13,4.433e-15,1.814e-15,0.0149e-15,0.1664e-15,0.747e-15,0.00479e-15,15.95,6.06,0.31,1082.16
50,17,5.462e-15,2.096e-15,0.014e-15,0.202e-15,0.929e-15,0.00505e-15,15.02,7.59,0.21,1162.32
50,21,6.488e-15,2.349e-15,0.01362e-15,0.2352e-15,1.11e-15,0.00478e-15,14.27,8.96,0.15,1202.40
70,1,1.019e-15,0.4891e-15,0.0263e-15,0.03398e-15,0.186e-15,0.00989e-15,19.52,1.49,6.38,501
70,5,2.297e-15,1.014e-15,0.0164e-15,0.0862e-15,0.422e-15,0.0035e-15,16.92,3.27,1.22,800
70,9,3.377e-15,1.376e-15,0.0141e-15,0.1271e-15,0.618e-15,0.00614e-15,15.16,5.29,0.56,901.8
70,13,4.428e-15,1.681e-15,0.01339e-15,0.1646e-15,0.8105e-15,0.00558e-15,14.00,6.57,0.33,961.92
70,17,5.468e-15,1.946e-15,0.0128e-15,0.2001e-15,1.0013e-15,0.00537e-15,13.13,7.81,0.21,1022.04
70,21,6.488e-15,2.184e-15,0.01219e-15,0.23376e-15,1.190e-15,0.00542e-15,12.44,9.02,0.15,1062.12
90,1,1.02e-15,0.45e-15,0.025e-15,0.033e-15,0.20e-15,0.0106e-15,17.58,1.61,7.22,420.84
90,5,2.29e-15,0.94e-15,0.015e-15,0.085e-15,0.46e-15,0.0069e-15,15.23,4.19,1.35,691.38
90,9,3.38e-15,1.285e-15,0.013e-15,0.125e-15,0.66e-15,0.0063e-15,13.69,5.6,0.59,811.62
90,13,4.44e-15,1.575e-15,0.0124e-15,0.163e-15,0.865e-15,0.0056e-15,12.60,6.73,0.33,871.74
90,17,5.48e-15,1.82e-15,0.01199e-15,0.198e-15,1.062e-15,0.0056e-15,11.80,7.86,0.21,911.82
90,21,6.50e-15,2.05e-15,0.01137e-15,0.2326e-15,1.259e-15,0.00571e-15,11.16,8.9,0.15,951.90
110,1,1.02e-15,0.42e-15,0.023e-15,0.032e-15,0.217e-15,0.0114e-15,15.99,1.72,8.02,369.74
110,5,2.29e-15,0.88e-15,0.014e-15,0.083e-15,0.48e-15,0.0073e-15,13.98,4.36,1.46,622.24
110,9,3.38e-15,1.21e-15,0.012e-15,0.124e-15,0.70e-15,0.0065e-15,12.55,5.8,0.61,730.46
110,13,4.44e-15,1.48e-15,0.011e-15,0.160e-15,0.911e-15,0.00629e-15,11.55,7.03,0.34,793.59
110,17,5.48e-15,1.72e-15,0.011e-15,0.196e-15,1.116e-15,0.0060e-15,10.79,7.88,0.21,829.66
110,21,6.50e-15,1.94e-15,0.0109e-15,0.23e-15,1.316e-15,0.0057e-15,10.20,8.61,0.14,856.71
130,1,1.027e-15,0.401e-15,0.021e-15,0.032e-15,0.23e-15,0.0124e-15,14.65,1.76,8.55,330.7
130,5,2.29e-15,0.84e-15,0.013e-15,0.081e-15,0.51e-15,0.0076e-15,12.93,4.52,1.52,581.2
130,9,3.38e-15,1.14e-15,0.011e-15,0.122e-15,0.738e-15,0.0068e-15,11.63,6.03,0.63,671.3
130,13,4.44e-15,1.40e-15,0.011e-15,0.159e-15,0.953e-15,0.0063e-15,10.68,6.89,0.34,721.4
130,17,5.47e-15,1.637e-15,0.0103e-15,0.195e-15,1.164e-15,0.0062e-15,9.98,7.77,0.20,761.5
130,21,6.53e-15,1.84e-15,0.0099e-15,0.23e-15,1.37e-15,0.0063e-15,9.43,8.61,0.13,791.6
150,1,1.02e-15,0.38e-15,0.020e-15,0.031e-15,0.24e-15,0.012e-15,13.6,1.63,9.3,300
150,5,2.30e-15,0.80e-15,0.012e-15,0.081e-15,0.535e-15,0.0080e-15,12.1,4.63,1.6,541.1
150,9,3.39e-15,1.09e-15,0.011e-15,0.12e-15,0.769e-15,0.0072e-15,10.8,5.95,0.6,621.2
150,13,4.44e-15,1.34e-15,0.0106e-15,0.157e-15,0.991e-15,0.00668e-15,9.9,6.82,0.3,661.3
150,17,5.47e-15,1.55e-15,0.0098e-15,0.193e-15,1.20e-15,0.0065e-15,9.3,7.69,0.2,701.4
150,21,6.52e-15,1.75e-15,0.0094e-15,0.23e-15,1.42e-15,0.0067e-15,8.8,8.50,0.1,731.5