N,fstLidL,Cc_first,Cc_last,Cc_middle,Cg_first,Cg_last,Cg_middle,FREQ1 GHz,FREQ2 GHz,KAPPA MHz,T1_PURCELL us,G_COUPLING MHz
20,5.0,2.3631566377921003e-15,1.10942800360887e-16,6.0805307983838e-17,1.0687656006367e-16,2.4136224907297502e-17,1.27172012673521e-17,26.50861341643852,29.397181789563735,0.575184636302484,42.580107564773286,240.4809619238472
20,9.0,3.3466055436094e-15,1.0377769861727301e-16,5.20720161577007e-17,1.6084191686054601e-16,2.44343452785145e-17,1.18247171023691e-17,26.52439531998449,29.45681974158126,0.7096382985690413,41.52923306608876,234.4689378757515
20,11.0,3.913041680731e-15,1.02850437090017e-16,5.15995839916178e-17,1.81560781354107e-16,2.4698410282692e-17,1.1953373423796401e-17,26.44519107794641,29.456983664531872,0.8051825062963704,39.747173547682735,234.4689378757515
20,1.0,1.04958185104746e-15,1.14638570004707e-16,5.7928864275157e-17,4.25910848385549e-17,2.25933568277749e-17,1.09278549123421e-17,27.29704314679762,29.45941764734912,0.2355608610919077,59.964745969436734,204.40881763527108
20,7.0,2.8974600544467702e-15,1.0884779023554201e-16,5.96002299778593e-17,1.33551977324744e-16,2.4597916928806702e-17,1.2963142437510901e-17,26.37563800476054,29.398601689300865,0.6930596601494167,40.018515555285845,240.4809619238491
20,3.0,1.77550396106122e-15,1.1281507130656002e-16,5.955976236056411e-17,7.81340262146371e-17,2.34767583622593e-17,1.18903564639294e-17,26.791639271150512,29.41975872498852,0.4211737436267337,47.8151931865949,228.4569138276558
20,15.0,4.868337481810471e-15,1.0051610491951701e-16,5.2813684040835807e-17,2.26199651940902e-16,2.5342633193881504e-17,1.2825791296069001e-17,26.26933561498316,29.44038320137585,0.9957092107282065,37.60703967602524,240.4809619238491
20,19.0,5.948454273875251e-15,1.0250236963919201e-16,5.61018645211809e-17,2.6774440744032305e-16,2.6914791204176502e-17,1.42033749026894e-17,26.007863649128865,29.403265994481988,1.2697175821735212,33.4835163273976,252.50501002004052
20,13.0,4.435494718775941e-15,1.0410334913575102e-16,5.47608726855664e-17,2.0362659636397003e-16,2.5612773027325904e-17,1.2982655233084101e-17,26.240632744276585,29.42488797710693,0.9548398598547295,36.64883507378262,240.4809619238491
20,17.0,5.448227263743e-15,1.0322264150151401e-16,5.6494184818635e-17,2.46614124206749e-16,2.65692991866087e-17,1.40203881212549e-17,26.04406907326538,29.402719494183586,1.185776932597113,34.0766622739049,252.50501002004052
20,21.0,6.499447972774611e-15,1.01753272678287e-16,5.56657784702285e-17,2.8839587377002604e-16,2.72253695689423e-17,1.43627927194465e-17,25.976784784810555,29.404420000800094,1.3578580465865968,32.97400539002995,252.50501002004052
30,1.0,1.0382658573019801e-15,1.0664839407708901e-16,5.74685113409772e-17,3.9997864108800705e-17,2.55014730923652e-17,1.3297836096097801e-17,25.400379696789432,28.868166674622806,0.5236622924939861,74.34236149707122,204.40881763527108
30,3.0,1.7568935220456303e-15,1.0638555089603502e-16,5.68559829515546e-17,7.38624823328619e-17,2.6629064647560203e-17,1.3784335336198e-17,24.670531691065644,28.80311481672492,0.9635723179418437,59.96498702791579,216.43286573146247
30,7.0,2.78420156199799e-15,9.86527923135377e-17,5.553005277857451e-17,1.30057984950689e-16,2.6814923762160903e-17,1.46230328313799e-17,24.077368547101916,28.77552198418553,1.5400472086197547,53.335970292888334,216.43286573146247
30,5.0,2.3408671357621905e-15,1.0514986465360001e-16,5.7866435863713e-17,1.0155358463607601e-16,2.73219237988429e-17,1.45960521170861e-17,24.210538639569613,28.75202711301363,1.319226588640774,52.949846508474586,222.4448897795582
30,9.0,3.3194872159925905e-15,9.878499247084111e-17,5.3080671921177804e-17,1.53744576612454e-16,2.7558471475507e-17,1.4359250574864303e-17,23.961443850711742,28.801542791984286,1.776004565244606,49.3643870182233,222.4448897795582
30,11.0,3.8834021774932505e-15,1.0040584735130502e-16,5.35606677623399e-17,1.7381834195757602e-16,2.84781580131385e-17,1.47632368704503e-17,23.736679742388386,28.778209531058593,2.0570173954360254,44.83852741899527,228.4569138276558
30,13.0,4.41375723362531e-15,1.0028738210950301e-16,5.561139738522381e-17,1.9572720537546004e-16,2.91418325914868e-17,1.5716915588901e-17,23.466674769782113,28.7280939655441,2.3782358576612403,41.9588434795532,234.4689378757515
30,15.0,4.83456002388464e-15,9.862793245317051e-17,5.2635069771489204e-17,2.1798094043811503e-16,2.93148012549417e-17,1.52124205375102e-17,23.52681397885253,28.775779608220297,2.4766132141376467,41.786932773624066,228.4569138276558
30,17.0,5.4235786904659406e-15,9.854093304134221e-17,5.416849961355711e-17,2.3782872240991405e-16,2.98758300225552e-17,1.5986136400209302e-17,23.30840340783292,28.736943566970854,2.8030539160411476,39.519742390191105,234.4689378757515
30,19.0,5.920900472696031e-15,9.790056972161282e-17,5.4284448277285405e-17,2.59237589196486e-16,3.02951963355456e-17,1.6346231867559902e-17,23.203984328349396,28.726792590126855,3.0282671107055483,38.38378597425398,234.4689378757515
30,21.0,6.45437720369753e-15,9.70757590885729e-17,5.3350283560621705e-17,2.79357404236347e-16,3.06017500364545e-17,1.63727504759085e-17,23.171007114442546,28.737648539714083,3.216984284942427,37.70132920780777,234.4689378757515
40,1.0,1.02868381372965e-15,1.0351383869084601e-16,5.4261235929263e-17,3.8337908847702005e-17,2.89353369404553e-17,1.47897173819255e-17,23.61130860935876,28.191806434453138,0.8009649806828794,83.9592570338823,198.39679358717538
40,3.0,1.73826320867065e-15,1.0228058060085701e-16,5.2959891170995306e-17,7.13364295305356e-17,2.9691220803665807e-17,1.4997883061543902e-17,22.762821950152038,28.095580505721884,1.4980572999288129,70.47848706328655,204.40881763527108
40,5.0,2.2697117506579e-15,9.94546565197262e-17,5.1838306887548205e-17,9.957766837339591e-17,3.0021199336887904e-17,1.52722769371162e-17,22.33454570571352,28.069347702097595,1.985679320634692,64.88363766257665,198.39679358717538
40,9.0,3.31754549910842e-15,9.72050404551712e-17,5.0840705084314803e-17,1.4827268212881301e-16,3.0981471367764003e-17,1.58396199145929e-17,21.724226375069033,28.02902374662593,2.8583993624684005,55.43446281112945,204.40881763527108
40,7.0,2.74475644358806e-15,9.75787409771681e-17,4.93719897599191e-17,1.27775443865703e-16,3.0442335197621206e-17,1.50542966382848e-17,22.134153769914136,28.103032703965628,2.3533569421158975,60.936953803671905,204.40881763527108
40,11.0,3.8690820105624205e-15,9.61825454674673e-17,5.0280889768836003e-17,1.6935919672729001e-16,3.1338638925858105e-17,1.6017204506209503e-17,21.50890194074453,28.02215437621692,3.2745437959452097,52.1208196225829,204.40881763527108
40,13.0,4.397019620672501e-15,9.635714021288581e-17,4.98435658236753e-17,1.8989605381916102e-16,3.19784772872446e-17,1.6167922306041e-17,21.334970379596452,28.01589436435536,3.6295163654679365,48.85435315067827,204.40881763527108
40,15.0,4.828807313117461e-15,9.44699992660115e-17,4.9315777306221503e-17,2.1224313829013302e-16,3.2087437806397705e-17,1.6383423937944003e-17,21.226326411744854,28.017275798822105,3.9258603452649954,47.991155085795334,204.40881763527108
40,17.0,5.3896300523368805e-15,9.46662957443909e-17,4.89570313512369e-17,2.32262697272218e-16,3.2819718284353204e-17,1.65948104279837e-17,21.087511347836355,28.01128454500084,4.297650534199387,45.450431319798376,204.40881763527108
40,19.0,5.908886151053921e-15,9.398045755878461e-17,4.8602903131378204e-17,2.5253224958197903e-16,3.3215135073524703e-17,1.6796793350737202e-17,20.982515580158697,28.00882541136164,4.623067656969393,44.02703325978867,210.42084168336677
40,21.0,6.442930104919661e-15,9.286420468951701e-17,4.8963541001522807e-17,2.72279196611532e-16,3.3368233360919803e-17,1.71995346321075e-17,20.83965353936683,27.98583304536107,4.965123038884958,42.9365898268765,210.42084168336677
50,1.0,1.02377267609286e-15,9.709872672522692e-17,5.461722193149201e-17,3.70202984139863e-17,3.0772639198187e-17,1.69313385712359e-17,21.773987660730675,27.35117909212152,0.996782872151731,95.51918296841211,180.36072144288445
50,3.0,1.7374236321725102e-15,9.666134419176611e-17,5.14825432346775e-17,6.90977103204786e-17,3.1639485602603605e-17,1.6516793179268502e-17,20.952320962927693,27.259850465637278,1.9491172188692587,81.88380754706192,180.36072144288445
50,5.0,2.2693166334125403e-15,9.298166182764411e-17,4.6344410609363303e-17,9.653488513040111e-17,3.1576257525456506e-17,1.5440728217731702e-17,20.735555409943487,27.376996532130413,2.596563204931462,77.75942362938137,180.36072144288636
50,7.0,2.7333369051699003e-15,8.983889514679381e-17,4.7231756614806905e-17,1.22583391426036e-16,3.13483444783925e-17,1.61434561860224e-17,20.304217564114275,27.291223322141978,3.0960566970471572,74.13394805594105,174.34869739478873
50,9.0,3.29790192277473e-15,9.02173810612222e-17,4.865623521500711e-17,1.4459028155310102e-16,3.22085537844347e-17,1.70320704173722e-17,19.8325955917279,27.17994798699383,3.732976819435173,66.46124925669704,180.36072144288636
50,11.0,3.8507527356604304e-15,9.088204262809691e-17,5.10097571009299e-17,1.6537257351909703e-16,3.31434787487443e-17,1.82488776122333e-17,19.364559092267392,27.03622412095425,4.35258033326315,60.03036490243627,180.36072144288445
50,13.0,4.393041821744271e-15,9.137022707943731e-17,4.86324785089474e-17,1.8581627496847802e-16,3.3996297433410604e-17,1.7765662972562403e-17,19.283042605169054,27.10522187413436,4.828559363254692,55.895761567200154,174.34869739478873
50,15.0,4.8300583681640806e-15,9.056250131251591e-17,4.82000713759737e-17,2.0740759213043601e-16,3.44336993250346e-17,1.7997058961959e-17,19.137459876562342,27.098529391380275,5.229600391971031,53.77337039268944,180.36072144288445
50,17.0,5.3763327213429606e-15,8.987496105140501e-17,4.783199149125171e-17,2.2729505654039604e-16,3.4799122668456504e-17,1.8189501481682e-17,18.980063141719224,27.09074170255476,5.694519328485064,51.38542654947574,180.36072144288445
50,19.0,5.88041716539549e-15,8.916963857104571e-17,4.7443715567383106e-17,2.47618195914047e-16,3.5170577682151805e-17,1.8383228627064102e-17,18.85758356327696,27.08692807888084,6.1092019828802995,49.60214839573012,180.36072144288445
50,21.0,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,18.74808714296255,27.085317652371216,6.513510643211244,48.00329788456559,180.36072144288445
60,1.0,1.02123046860606e-15,9.28325832496771e-17,5.270512130585451e-17,3.6136768644030604e-17,3.27195548570296e-17,1.8215133259027802e-17,20.19550178998011,26.51830730723383,1.1183172861865143,105.76034102985103,168.33667334669303
60,3.0,1.6723794251852002e-15,8.98614602533981e-17,4.8979278725936905e-17,6.90361686447535e-17,3.2848521555395705e-17,1.7562404366751002e-17,19.49224896338022,26.437441583261943,2.160293956441278,97.67295352938415,156.31262525050164
60,5.0,2.2554451837026402e-15,8.86442243073878e-17,4.801144090259061e-17,9.44826164705317e-17,3.31975514439328e-17,1.76472999952135e-17,18.926303741673742,26.355889205175057,3.018632104988267,87.8482155675418,156.31262525050164
60,7.0,2.74085701734225e-15,8.610231310954091e-17,4.817899627510451e-17,1.20329070229765e-16,3.3158420522884803e-17,1.8208549399326002e-17,18.4900344289564,26.265772841498396,3.6722618745118103,82.89890443530379,156.31262525050164
60,9.0,3.3002734709199404e-15,8.5208008883035e-17,4.7657986400251205e-17,1.4163999913151103e-16,3.35522986870286e-17,1.84209006840689e-17,18.134564262542366,26.224363789471994,4.402627434947468,76.17383227304825,150.30060120240594
60,11.0,3.839013319844311e-15,8.724138961152801e-17,4.941728090906241e-17,1.62313463712103e-16,3.50400129185131e-17,1.94975703063572e-17,17.68307463388261,26.065483864877475,5.06635658014787,67.29852829851012,156.31262525050164
60,13.0,4.37373543180732e-15,8.777490270016571e-17,4.7162281997750505e-17,1.82278205736255e-16,3.5897567091324804e-17,1.8959828464587e-17,17.58349796391635,26.146424014368918,5.641661365459658,62.335324920583865,156.31262525050164
60,15.0,4.8011734003958505e-15,8.69921031029953e-17,4.6740231913077506e-17,2.0392114701856103e-16,3.63589372746402e-17,1.92060390555891e-17,17.424218329990115,26.134210872236107,6.110773867536575,59.78311602737548,150.300601202404
60,17.0,5.370096114173391e-15,8.627491242019622e-17,4.60163276231996e-17,2.22926093470951e-16,3.6648914359027e-17,1.92225381016659e-17,17.273331612254854,26.143253550769813,6.660981849702421,56.83907072564064,150.30060120240498
60,19.0,5.8712757121814e-15,8.56111997232676e-17,4.56619645018403e-17,2.4329733018754e-16,3.7054368535087e-17,1.94374482138143e-17,17.134725413294248,26.133885554064328,7.148398606768146,54.60397724765704,156.31262525050164
60,21.0,6.40337588330977e-15,8.500474784133262e-17,4.533118478916931e-17,2.6150633042960606e-16,3.73854864033357e-17,1.9609468189229702e-17,17.008337573507546,26.12711127630435,7.631541509816023,52.549668514423274,150.30060120240498
70,1.0,9.953015470965011e-16,8.798851462461081e-17,4.57399433270312e-17,3.63849215984747e-17,3.41514171194379e-17,1.7456076660941603e-17,19.217927849944665,25.956311736077488,1.2079649428524029,122.8887170854361,150.30060120240594
70,3.0,1.6690392288804602e-15,8.67056716938338e-17,4.3412552370702606e-17,6.7598748249088e-17,3.4577376694901204e-17,1.7031963979189503e-17,18.408422470395543,25.796395920988406,2.400859055306432,109.31615335368839,144.2885771543083
70,5.0,2.2508838543249403e-15,8.726893887972611e-17,4.40741096651624e-17,9.27526962476235e-17,3.5658153545602906e-17,1.77262165755201e-17,17.710912261877482,25.59434245407502,3.3317661034145356,95.00381512046708,144.2885771543083
70,7.0,2.7360448034712902e-15,8.47197077147822e-17,4.2398856272757804e-17,1.17239530453449e-16,3.5490504642375504e-17,1.74991395229359e-17,17.414448332894466,25.61031384292308,4.074392985420876,90.23242367107646,138.2765531062107
70,9.0,3.2865391067941503e-15,8.533690165695151e-17,4.30719885558687e-17,1.38919097504312e-16,3.6512974144985596e-17,1.81573723561376e-17,16.960950008004,25.47807537536729,4.837839927560759,80.55569344062198,138.27655310621262
70,11.0,3.8302522231780104e-15,8.296123608676911e-17,4.4543078563803e-17,1.5940362589954904e-16,3.6163442095815e-17,1.9135844950956703e-17,16.524859183836263,25.311144101906795,5.537330943292043,76.42960009944989,138.27655310621262
70,13.0,4.355237763448211e-15,8.32643650624558e-17,4.617336671547511e-17,1.7941368866542602e-16,3.70204971679967e-17,2.02421022360621e-17,16.12418345155553,25.13489027023538,6.197953278090337,69.9767580271669,138.27655310621262
70,15.0,4.778303651543231e-15,8.157460197676541e-17,4.37916915216224e-17,2.0057707644816302e-16,3.69859201689111e-17,1.9577016733680302e-17,16.121873619573176,25.263793967847374,6.688432621822848,68.45695474320321,132.26452905811595
70,17.0,5.358071461746081e-15,8.19503868778036e-17,4.54428460716649e-17,2.1977139931503103e-16,3.7808120506058706e-17,2.0675698443153703e-17,15.758368249459442,25.093165849175023,7.3532894067320145,62.96865082188304,138.27655310621262
70,19.0,5.87693868395357e-15,8.13395532155459e-17,4.5104312018016004e-17,2.39587176436755e-16,3.81853340423697e-17,2.0883673430808803e-17,15.605128873728363,25.077663407540026,7.906292700226523,60.08687327428099,132.26452905811595
70,21.0,6.408810505609501e-15,8.131873713610311e-17,4.4936592722206204e-17,2.57248544879837e-16,3.87442192483307e-17,2.1143816477133602e-17,15.454207040369221,25.052683257435078,8.453541509282742,56.97940601537417,132.26452905811595
80,1.0,1.00210213399465e-15,8.445054458007611e-17,4.4086493788175803e-17,3.5443462254859404e-17,3.551334202890391e-17,1.8262450317516902e-17,17.972046853941574,25.150110205355038,1.2562573166805406,133.87093004172903,138.27655310621262
80,3.0,1.6684061515771001e-15,8.326649455969721e-17,4.3452337531999305e-17,6.635068700908819e-17,3.5936677343298604e-17,1.8480305863371404e-17,17.07547491090107,24.845278175449902,2.478137982523105,119.41114055684426,132.26452905811595
80,5.0,2.24996631329811e-15,8.23064185506877e-17,4.2938878062500405e-17,9.103955464440321e-17,3.63490175702432e-17,1.86919934337029e-17,16.487806368401454,24.69130174956019,3.5019624548578085,107.50220609016165,126.2525050100193
80,7.0,2.73225132270735e-15,8.13949421587039e-17,4.09077261714843e-17,1.1544988533834102e-16,3.683845627049711e-17,1.8263557900389302e-17,16.223388347205344,24.729838219958715,4.323363793145102,99.57089824006376,126.2525050100193
80,9.0,3.2883758637831603e-15,8.24909658786302e-17,4.16143879888986e-17,1.3705218351690403e-16,3.8096327232438905e-17,1.89652060043074e-17,15.758896830915146,24.566001867213192,5.140608729901564,87.81722782036138,126.2525050100193
80,11.0,3.8200259978845904e-15,8.0056689535736e-17,4.28832752367404e-17,1.5731738118001402e-16,3.7698682763859506e-17,1.99134594171684e-17,15.340005630897881,24.38375819833202,5.85874387541393,83.46691596484636,126.2525050100193
80,13.0,4.34357464099299e-15,8.039402561377001e-17,4.44840426170366e-17,1.76717636211293e-16,3.85550298320869e-17,2.1042338533165304e-17,14.939657234824407,24.178646523761984,6.526477062007024,76.11726972022072,126.25250501002026
80,15.0,4.7627785264164604e-15,7.876209388743021e-17,4.2187616497406507e-17,1.97823479377327e-16,3.8492232930272905e-17,2.0337047892107303e-17,14.930514334198172,24.32078058252025,7.075344434199122,74.23642170664583,120.2404809619236
80,17.0,5.32297128272543e-15,7.911399170041971e-17,4.3773777841013006e-17,2.16944178735718e-16,3.9338375525622704e-17,2.1474132766038002e-17,14.574320075301,24.12492783315367,7.7321322857795325,68.1559069270112,120.2404809619236
80,19.0,5.869115630739631e-15,7.84702387245833e-17,4.3401550930313703e-17,2.3656736419775005e-16,3.96955856270136e-17,2.16636626277314e-17,14.411953057297032,24.10626040206829,8.352260763210872,64.62465780684522,120.24048096192455
80,21.0,6.3832316064842906e-15,7.864278507503301e-17,4.34928887428239e-17,2.5449171703492805e-16,4.0339978561039005e-17,2.2016335952422603e-17,14.242710737634525,24.055307655997186,8.887370057180755,60.86048215505681,120.2404809619236
100,1.0,1.0181301821449901e-15,8.016754086473651e-17,4.37371954197048e-17,3.3178192731481504e-17,3.83017452873552e-17,2.07142442390667e-17,15.608675646872458,23.34677443896473,1.1878406529210404,147.18691570245792,114.2284569138279
100,3.0,1.71874387338143e-15,7.88874860728728e-17,4.3087908206388704e-17,6.250478514981581e-17,3.9091003283191e-17,2.1069032310942302e-17,14.794883520191055,22.94496513647688,2.52052289267146,133.17050744392222,108.21643286573219
100,5.0,2.2951926540533003e-15,7.800962819937091e-17,4.27212597985183e-17,8.677811254202601e-17,3.93574118693457e-17,2.1279710047298902e-17,14.26930124212638,22.734884766517773,3.5648156505266617,120.84337873346652,108.21643286573219
100,7.0,2.8345358227893002e-15,7.75786204162461e-17,4.26894083369043e-17,1.0931484983651501e-16,3.9887587036998e-17,2.17409534843089e-17,13.838665026041246,22.56089004109955,4.483634276818056,109.47124535676194,102.20440881763459
100,9.0,3.37545952857332e-15,7.687273605044391e-17,4.27235555475854e-17,1.2994364237819601e-16,4.058940989887451e-17,2.23753485845676e-17,13.46563908234019,22.407262410896116,5.401063670067661,99.9627782697904,102.20440881763554
100,11.0,3.912811644954481e-15,7.631443649375511e-17,4.23141149392116e-17,1.5046425072477e-16,4.07844915899059e-17,2.2368047008318603e-17,13.20285238156661,22.349179989364192,6.142471739802979,91.94238501153681,96.19238476953983
100,13.0,4.4393323568569706e-15,7.547895967397461e-17,4.188163138327871e-17,1.71069010578429e-16,4.13749952393033e-17,2.2707640509311003e-17,12.969008209351427,22.288847070416427,6.9480730360634535,85.49977182105503,96.19238476953888
100,15.0,4.94526492629598e-15,7.52569667588905e-17,4.18613046212816e-17,1.8991195571956601e-16,4.15380795112824e-17,2.2881404599068004e-17,12.762311017175671,22.226002652580636,7.519990584481765,79.51910775808146,96.19238476953888
100,17.0,5.4926240774505504e-15,7.430744955667051e-17,4.1186621515374505e-17,2.0945279783178202e-16,4.2070279138402906e-17,2.31386950883818e-17,12.595823346363678,22.20786001008557,8.327773247005814,74.81657668167571,96.19238476953888
100,19.0,5.987524987323421e-15,7.420125803051431e-17,4.1221925081586003e-17,2.28244871402267e-16,4.20426527075559e-17,2.31152925174e-17,12.44498636485079,22.171215345843674,8.694145329648789,70.41298784423276,90.18036072144318
100,21.0,6.504506338909111e-15,7.351406778242111e-17,4.10612751202481e-17,2.46966307408833e-16,4.24088903248865e-17,2.34394768345855e-17,12.297107260798903,22.12796633590013,9.292560253612173,66.84957583568499,96.19238476953888
