N,Cc_F,Cg_F,W_um,L_um,fp_target_GHz,R_Ohm,EJ_GHz,EC_GHz,d,f_chain0_GHz,f_chain1_GHz,f_minus_GHz,f_plus_GHz,g_MHz,T1_Purcell_s,f_qubit_GHz
80,1e-18,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,27.008049650652374,29.13666538234814,26.663865546218485,27.302521008403357,319.32773109243584,11.118575614391325,3.8492609883370767
80,1.5848931924611109e-18,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,27.00616270528915,29.136058332973985,26.65266106442577,27.302521008403357,324.9299719887943,4.429537310134994,3.8492609883370767
80,2.5118864315095718e-18,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,27.00317123046425,29.135095782873165,26.65266106442577,27.302521008403357,324.9299719887943,1.7654206567534683,3.8492609883370767
80,3.981071705534985e-18,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.99842793098434,29.133569191030166,26.65266106442577,27.291316526610643,319.32773109243584,0.7040832004695108,3.8492609883370767
80,6.309573444801943e-18,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.990905147746293,29.1311472867536,26.65266106442577,27.291316526610643,319.32773109243584,0.2810943330999682,3.8492609883370767
80,1e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.97897014356614,29.1273036412473,26.641456582633054,27.291316526610643,324.9299719887943,0.11240741500152172,3.8492609883370767
80,1.584893192461111e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.96002681418752,29.12120235597715,26.607843137254903,27.257703081232492,324.9299719887943,0.04506769309898448,3.8492609883370767
80,2.5118864315095718e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.929946042427762,29.111522235344733,26.596638655462186,27.246498599439775,324.9299719887943,0.01814301291177521,3.8492609883370767
80,3.9810717055349855e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.882171816744787,29.09620665046867,26.540616246498598,27.201680672268907,330.5322128851547,0.007350753326867912,3.8492609883370767
80,6.309573444801943e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.806375126644177,29.07218813634365,26.45098039215686,27.11204481792717,330.5322128851547,0.003007995834714206,3.8492609883370767
80,1e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.686653259071477,29.035375643724166,26.30532212885154,26.988795518207283,341.7366946778717,0.0012499112437595195,3.8492609883370767
80,1.5848931924611109e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.499907476337096,28.981740906694604,26.83193277310924,26.843137254901958,5.60224089635849,0.0005315801387740939,3.8492609883370767
80,2.511886431509582e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.216806160143353,28.91054107987382,25.823529411764707,26.563025210084035,369.74789915966414,0.0002339819715390437,3.8492609883370767
80,3.9810717055349695e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.81008645498262,28.828136596047457,25.37535014005602,26.159663865546218,392.1568627450981,0.00010817087349046059,3.8492609883370767
80,6.309573444801943e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.272530514262264,28.746784719663513,24.826330532212882,25.666666666666664,420.16806722689057,5.3456416723738265e-05,3.8492609883370767
80,1e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,24.63441659935952,28.677429975201143,24.165266106442576,25.061624649859944,448.179271708683,2.8754029817649248e-05,3.8492609883370767
80,1.584893192461111e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,23.961473242523603,28.624559057195185,23.448179271708682,24.400560224089634,476.19047619047547,1.707733017207029e-05,3.8492609883370767
80,2.511886431509582e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,23.329368426820334,28.587144549352526,22.79831932773109,23.80672268907563,504.20168067226984,1.1266211963624973e-05,3.8492609883370767
80,3.9810717055349695e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,22.79383248736204,28.561853243702256,22.249299719887954,23.302521008403357,526.6106442577019,8.219250763082029e-06,3.8492609883370767
80,6.309573444801943e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,22.37709273825605,28.545217690457545,21.77871148459384,22.87675070028011,549.0196078431359,6.543418010879087e-06,3.8492609883370767
80,1e-14,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,22.073340651489833,28.534451839819013,21.464985994397757,22.596638655462186,565.8263305322132,5.5842400421769325e-06,3.8492609883370767
85,1e-18,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.680599685361155,29.030963168204863,26.30532212885154,26.316526610644257,5.60224089635849,10.831943249360695,3.8492609883370767
85,1.5848931924611109e-18,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.678667254735686,29.03032378292218,26.30532212885154,26.988795518207283,341.7366946778717,4.315162133918302,3.8492609883370767
85,2.5118864315095718e-18,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.67560381391849,29.029310003069956,26.30532212885154,26.988795518207283,341.7366946778717,1.7197198894273171,3.8492609883370767
85,3.981071705534985e-18,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.670746761225583,29.027702262103393,26.30532212885154,26.988795518207283,341.7366946778717,0.6857837808897755,3.8492609883370767
85,6.309573444801943e-18,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.663044440081205,29.02515184237791,26.294117647058822,26.977591036414566,341.7366946778717,0.27374243656335573,3.8492609883370767
85,1e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.650826697909483,29.021104699872954,26.294117647058822,26.977591036414566,341.7366946778717,0.10943831859447566,3.8492609883370767
85,1.584893192461111e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.631439529943105,29.014681134528583,26.249299719887954,26.94397759103641,347.3389355742283,0.04385888732295654,3.8492609883370767
85,2.5118864315095718e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.600664974555187,29.004489970418522,26.238095238095237,26.932773109243694,347.3389355742283,0.017644750142390416,3.8492609883370767
85,3.9810717055349855e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.551811328095067,28.988360607198935,26.182072829131652,26.887955182072826,352.94117647058675,0.007141520136975949,3.8492609883370767
85,6.309573444801943e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.474339486394502,28.96303252908181,26.092436974789912,26.809523809523807,358.54341736694715,0.0029177123950834367,3.8492609883370767
85,1e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.352001362556667,28.92407155883924,25.946778711484594,26.675070028011202,364.1456582633057,0.001209433823303782,3.8492609883370767
85,1.5848931924611109e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.161060788160878,28.866851843675832,26.518207282913163,26.52941176470588,5.60224089635849,0.000512477498914156,3.8492609883370767
85,2.511886431509582e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.870907196833702,28.789825716119406,25.464985994397757,26.238095238095237,386.5546218487396,0.00022436465352931035,3.8492609883370767
85,3.9810717055349695e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.45194520213888,28.69896855004709,25.00560224089636,25.823529411764707,408.9635854341736,0.00010294546147490942,3.8492609883370767
85,6.309573444801943e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,24.893959945299557,28.607452533607795,24.434173669467786,25.319327731092432,442.57703081232455,5.0367954194737906e-05,3.8492609883370767
85,1e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,24.22555761729143,28.52809903799474,23.728291316526608,24.669467787114844,470.5882352941189,2.6761429268183686e-05,3.8492609883370767
85,1.584893192461111e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,23.514215613647846,28.466874851744556,22.977591036414566,23.9859943977591,504.2016806722679,1.567566485712033e-05,3.8492609883370767
85,2.511886431509582e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,22.840503406627803,28.423218297156712,22.27170868347339,23.32492997198879,526.6106442577019,1.01973890454552e-05,3.8492609883370767
85,3.9810717055349695e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,22.265732541733186,28.393572724032442,21.6890756302521,22.79831932773109,554.6218487394963,7.344507924806168e-06,3.8492609883370767
85,6.309573444801943e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,21.815988756290146,28.37402062249081,21.207282913165265,22.350140056022408,571.4285714285717,5.784789865859372e-06,3.8492609883370767
85,1e-14,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,21.486823486812472,28.36134710640014,20.87114845938375,22.047619047619044,588.2352941176472,4.8963506957304836e-06,3.8492609883370767
90,1e-18,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.34612795231841,28.919803227510236,25.946778711484594,26.675070028011202,364.1456582633057,11.057170011616822,3.8492609883370767
90,1.5848931924611109e-18,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.344155276413467,28.91913624210423,25.946778711484594,26.675070028011202,364.1456582633057,4.404719512616031,3.8492609883370767
90,2.5118864315095718e-18,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.34102817173356,28.918078736191376,25.946778711484594,26.675070028011202,364.1456582633057,1.7553057328777844,3.8492609883370767
90,3.981071705534985e-18,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.336070517643538,28.916401733505836,25.946778711484594,26.675070028011202,364.1456582633057,0.6999080409700271,3.8492609883370767
90,6.309573444801943e-18,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.328209489562823,28.913741625456115,25.935574229691877,26.663865546218485,364.1456582633057,0.27933837946819146,3.8492609883370767
90,1e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.31574199986167,28.90952079114296,25.935574229691877,26.663865546218485,364.1456582633057,0.11164897892808129,3.8492609883370767
90,1.584893192461111e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.295963252967738,28.90282209596308,25.89075630252101,26.630252100840337,369.74789915966414,0.04472808990883921,3.8492609883370767
90,2.5118864315095718e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.26457780527595,28.892194384053568,25.87955182072829,26.61904761904762,369.74789915966414,0.017983850697346714,3.8492609883370767
90,3.9810717055349855e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.214776765764366,28.875368664135973,25.823529411764707,26.574229691876752,375.35014005602267,0.007272070454088268,3.8492609883370767
90,6.309573444801943e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.13584235093916,28.848915068497398,25.733893557422967,26.484593837535012,375.35014005602267,0.002966806672702835,3.8492609883370767
90,1e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.011238191837535,28.808089052430745,25.61064425770308,26.38375350140056,386.5546218487396,0.0012270900324176845,3.8492609883370767
90,1.5848931924611109e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.816700591658396,28.747695574005437,26.19327731092437,26.204481792717086,5.60224089635849,0.0005182427393437098,3.8492609883370767
90,2.511886431509582e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.52054048301759,28.665347068539734,25.095238095238095,25.913165266106443,408.9635854341736,0.0002257902058076174,3.8492609883370767
90,3.9810717055349695e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.09110185503748,28.56645911167996,24.62464985994398,25.48739495798319,431.37254901960756,0.0001028920709603458,3.8492609883370767
90,6.309573444801943e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,24.515326261404837,28.464902620571475,24.01960784313725,24.927170868347336,453.7815126050415,4.988271651078013e-05,3.8492609883370767
90,1e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,23.819945076145274,28.375352932373396,23.313725490196074,24.288515406162464,487.39495798319433,2.6203286619603122e-05,3.8492609883370767
90,1.584893192461111e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,23.073674993719376,28.305418741609913,22.518207282913163,23.549019607843135,515.4061624649868,1.5150973401016696e-05,3.8492609883370767
90,2.511886431509582e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,22.361464677936603,28.25516149285266,21.77871148459384,22.865546218487392,543.4173669467773,9.725433923662373e-06,3.8492609883370767
90,3.9810717055349695e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,21.749905718006374,28.220872669477767,21.15126050420168,22.282913165266105,565.8263305322132,6.9184193336594425e-06,3.8492609883370767
90,6.309573444801943e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,21.268902347755372,28.198195080471212,20.647058823529413,21.801120448179272,577.0308123249301,5.392654125566417e-06,3.8492609883370767
90,1e-14,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,20.915487298094536,28.183471272025777,20.29971988795518,21.48739495798319,593.8375350140057,4.527633477836235e-06,3.8492609883370767
95,1e-18,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.00553404447356,28.803959050971848,25.588235294117645,26.350140056022408,380.95238095238113,10.800309366217856,3.8492609883370767
95,1.5848931924611109e-18,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.003532028002233,28.803262171016698,25.588235294117645,26.350140056022408,380.95238095238113,4.302250403321564,3.8492609883370767
95,2.5118864315095718e-18,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,26.00035852934076,28.802157304366013,25.577030812324928,26.350140056022408,386.5546218487396,1.714378795602316,3.8492609883370767
95,3.981071705534985e-18,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.995327612634725,28.800405284527756,25.577030812324928,26.350140056022408,386.5546218487396,0.6835305686294252,3.8492609883370767
95,6.309573444801943e-18,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.987351127274813,28.79762638235599,25.577030812324928,26.350140056022408,386.5546218487396,0.2727651956689958,3.8492609883370767
95,1e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.97470224196471,28.79321747645343,25.56582633053221,26.33893557422969,386.5546218487396,0.10899849377494297,3.8492609883370767
95,1.584893192461111e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.95463977966152,28.78622103737137,25.53221288515406,26.30532212885154,386.5546218487396,0.0436515887997958,3.8492609883370767
95,2.5118864315095718e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.922813299846307,28.775121551873955,25.509803921568626,26.294117647058822,392.1568627450981,0.01754174336485885,3.8492609883370767
95,3.9810717055349855e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.87233164366452,28.757545795748708,25.464985994397757,26.249299719887954,392.1568627450981,0.007087428329261025,3.8492609883370767
95,6.309573444801943e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.79235247316019,28.729888817999825,25.364145658263304,26.159663865546218,397.7591036414566,0.0028877603449792076,3.8492609883370767
95,1e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.666135523776692,28.68709581142122,25.240896358543417,26.047619047619044,403.3613445378151,0.0011920362562519088,3.8492609883370767
95,1.5848931924611109e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.46902234740284,28.623415732788715,25.03921568627451,25.868347338935575,414.56582633053205,0.0005019356719183376,3.8492609883370767
95,2.511886431509582e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.168445902332518,28.53562711960367,24.71428571428571,25.577030812324928,431.37254901960756,0.00021772428178524396,3.8492609883370767
95,3.9810717055349695e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,24.73092765897406,28.42851752686927,24.243697478991596,25.140056022408963,448.179271708683,9.85978548454686e-05,3.8492609883370767
95,6.309573444801943e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,24.140673659093714,28.31653922152072,23.627450980392155,24.568627450980394,470.5882352941189,4.739974953509165e-05,3.8492609883370767
95,1e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,23.422309012299777,28.216226635436467,22.87675070028011,23.88515406162465,504.20168067226984,2.4636801669322444e-05,3.8492609883370767
95,1.584893192461111e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,22.645260424729717,28.13697298595294,22.081232492997195,23.14565826330532,532.2128851540623,1.4072642368068658e-05,3.8492609883370767
95,2.511886431509582e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,21.898304885471013,28.07959049698029,21.296918767506998,22.406162464985993,554.6218487394963,8.919234888479224e-06,3.8492609883370767
95,3.9810717055349695e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,21.252975660473098,28.04026341732312,20.635854341736696,21.801120448179272,582.6330532212887,6.269642960635816e-06,3.8492609883370767
95,6.309573444801943e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,20.742925801095456,28.014184573517998,20.109243697478988,21.308123249299715,599.4397759103641,4.837519360757316e-06,3.8492609883370767
95,1e-14,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,20.366781708136887,27.99722593028978,19.705882352941178,20.92717086834734,610.6442577030812,4.029319184260772e-06,3.8492609883370767
100,1e-18,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.660588599821374,28.683084569263546,25.240896358543417,26.047619047619044,403.3613445378151,10.998954970661204,3.8492609883370767
100,1.5848931924611109e-18,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.65856196807621,28.682362157522686,25.218487394957982,26.02521008403361,403.3613445378151,4.381245247099923,3.8492609883370767
100,2.5118864315095718e-18,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.65534956073646,28.681216842612606,25.207282913165265,26.02521008403361,408.9635854341736,1.7457720139538038,3.8492609883370767
100,3.981071705534985e-18,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.650257235734593,28.679400756006366,25.207282913165265,26.02521008403361,408.9635854341736,0.695993555622845,3.8492609883370767
100,6.309573444801943e-18,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.642184059759852,28.676520401837607,25.207282913165265,26.014005602240893,403.3613445378151,0.27770474101215903,3.8492609883370767
100,1e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.62938347533648,28.671950876511193,25.19607843137255,26.014005602240893,408.9635854341736,0.11095099141479388,3.8492609883370767
100,1.584893192461111e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.609084271562693,28.664700117174476,25.162464985994397,25.98039215686274,408.9635854341736,0.04442002474310212,3.8492609883370767
100,2.5118864315095718e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.576891075198997,28.65319745996457,25.140056022408963,25.95798319327731,408.9635854341736,0.01784201589237209,3.8492609883370767
100,3.9810717055349855e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.52584661475598,28.634979809508792,25.095238095238095,25.913165266106443,408.9635854341736,0.007203353349289892,3.8492609883370767
100,6.309573444801943e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.44501076858973,28.6062891406668,24.99439775910364,25.823529411764707,414.56582633053205,0.0029315772198025432,3.8492609883370767
100,1e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.31748651898136,28.561791996980848,24.87114845938375,25.72268907563025,425.77030812324904,0.001207955197874825,3.8492609883370767
100,1.5848931924611109e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.118309569637688,28.495215349314158,25.521008403361343,25.53221288515406,5.60224089635849,0.0005072585875975085,3.8492609883370767
100,2.511886431509582e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,24.814200616961067,28.402496275492222,24.333333333333332,25.2296918767507,448.179271708683,0.0002191508471510286,3.8492609883370767
100,3.9810717055349695e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,24.370106085786492,28.287662416921957,23.88515406162465,24.815126050420165,464.9859943977585,9.867642574615544e-05,3.8492609883370767
100,6.309573444801943e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,23.767689324903778,28.165526152384825,23.257703081232492,24.23249299719888,487.39495798319433,4.706986611344971e-05,3.8492609883370767
100,1e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,23.02936751062736,28.05439425308489,22.49579831932773,23.5266106442577,515.4061624649868,2.4225193299250503e-05,3.8492609883370767
100,1.584893192461111e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,22.22485124056743,27.96556267087116,21.655462184873947,22.742296918767504,543.4173669467792,1.3679532840597175e-05,3.8492609883370767
100,2.511886431509582e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,21.446241573684635,27.90075294178535,20.8375350140056,21.98039215686274,571.4285714285717,8.565690242401876e-06,3.8492609883370767
100,3.9810717055349695e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,20.769674774528816,27.85612931520776,20.165266106442573,21.34173669467787,588.2352941176491,5.952166430868905e-06,3.8492609883370767
100,6.309573444801943e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,20.232454684906923,27.8264570413331,19.582633053221286,20.79271708683473,605.0420168067226,4.547221000737132e-06,3.8492609883370767
